Book of	Isaiah

001:001	The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.
001:002	Hear, O heavens, and give ear, O earth: for the LORD hath spoken, I have nourished and brought up children, and they have rebelled against me.
001:003	The ox knoweth his owner, and the ass his master's crib: but Israel doth not know, my people doth not consider.
001:004	Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the LORD, they have provoked the Holy One of Israel unto anger, they are gone away backward.
001:005	Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint.
001:006	From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment.
001:007	Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers.
001:008	And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.
001:009	Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah.
001:010	Hear the word of the LORD, ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah.
001:011	To what purpose is the multitude of your sacrifices unto me? saith the LORD: I am full of the burnt offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he goats.
001:012	When ye come to appear before me, who hath required this at your hand, to tread my courts?
001:013	Bring no more vain oblations; incense is an abomination unto me; the new moons and sabbaths, the calling of assemblies, I cannot away with; it is iniquity, even the solemn meeting.
001:014	Your new moons and your appointed feasts my soul hateth: they are a trouble unto me; I am weary to bear them.
001:015	And when ye spread forth your hands, I will hide mine eyes from you: yea, when ye make many prayers, I will not hear: your hands are full of blood.
001:016	Wash you, make you clean; put away the evil of your doings from before mine eyes; cease to do evil;
001:017	Learn to do well; seek judgment, relieve the oppressed, judge the fatherless, plead for the widow.
001:018	Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.
001:019	If ye be willing and obedient, ye shall eat the good of the land:
001:020	But if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of the LORD hath spoken it.
001:021	How is the faithful city become an harlot! it was full of judgment; righteousness lodged in it; but now murderers.
001:022	Thy silver is become dross, thy wine mixed with water:
001:023	Thy princes are rebellious, and companions of thieves: every one loveth gifts, and followeth after rewards: they judge not the fatherless, neither doth the cause of the widow come unto them.
001:024	Therefore saith the LORD, the LORD of hosts, the mighty One of Israel, Ah, I will ease me of mine adversaries, and avenge me of mine enemies:
001:025	And I will turn my hand upon thee, and purely purge away thy dross, and take away all thy tin:
001:026	And I will restore thy judges as at the first, and thy counsellors as at the beginning: afterward thou shalt be called, The city of righteousness, the faithful city.
001:027	Zion shall be redeemed with judgment, and her converts with righteousness.
001:028	And the destruction of the transgressors and of the sinners shall be together, and they that forsake the LORD shall be consumed.
001:029	For they shall be ashamed of the oaks which ye have desired, and ye shall be confounded for the gardens that ye have chosen.
001:030	For ye shall be as an oak whose leaf fadeth, and as a garden that hath no water.
001:031	And the strong shall be as tow, and the maker of it as a spark, and they shall both burn together, and none shall quench them.
002:001	The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
002:002	And it shall come to pass in the last days, that the mountain of the LORD's house shall be established in the top of the mountains, and shall be exalted above the hills; and all nations shall flow unto it.
002:003	And many people shall go and say, Come ye, and let us go up to the mountain of the LORD, to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for out of Zion shall go forth the law, and the word of the LORD from Jerusalem.
002:004	And he shall judge among the nations, and shall rebuke many people: and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up sword against nation, neither shall they learn war any more.
002:005	O house of Jacob, come ye, and let us walk in the light of the LORD.
002:006	Therefore thou hast forsaken thy people the house of Jacob, because they be replenished from the east, and are soothsayers like the Philistines, and they please themselves in the children of strangers.
002:007	Their land also is full of silver and gold, neither is there any end of their treasures; their land is also full of horses, neither is there any end of their chariots:
002:008	Their land also is full of idols; they worship the work of their own hands, that which their own fingers have made:
002:009	And the mean man boweth down, and the great man humbleth himself: therefore forgive them not.
002:010	Enter into the rock, and hide thee in the dust, for fear of the LORD, and for the glory of his majesty.
002:011	The lofty looks of man shall be humbled, and the haughtiness of men shall be bowed down, and the LORD alone shall be exalted in that day.
